Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Type,1,Cogs,Difference Between Actual And Target Profit,Inventory,Ji Lu Shu,Margin,Marketing,Profit,Sales,Target Cogs,Target Margin,Target Profit,Target Sales,Total Expenses,Zero
303,10/1/2012 12:00:00 AM,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,1,51,-35,503,1,71,46,-5,122,30,60,30,90,76,0
970,10/1/2012 12:00:00 AM,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,1,52,-24,405,1,71,17,26,123,30,60,50,90,45,0
409,10/1/2012 12:00:00 AM,South,Major Market,Lemon,Leaves,Herbal Tea,Texas,Decaf,1,43,-22,419,1,64,13,28,107,30,60,50,90,36,0
850,10/1/2012 12:00:00 AM,East,Major Market,Darjeeling,Leaves,Tea,Florida,Regular,1,38,-15,871,1,56,10,35,94,40,60,50,100,21,0
562,10/1/2012 12:00:00 AM,West,Major Market,Green Tea,Leaves,Tea,California,Regular,1,72,6,650,1,110,23,56,182,20,60,50,80,54,0
712,10/1/2012 12:00:00 AM,Central,Small Market,Decaf Espresso,Beans,Espresso,Iowa,Decaf,1,0,-29,430,1,43,0,31,43,0,60,60,60,12,0
860,10/1/2012 12:00:00 AM,East,Small Market,Decaf Espresso,Beans,Espresso,Connecticut,Decaf,1,47,-29,375,1,64,15,21,111,30,60,50,90,43,0
918,10/1/2012 12:00:00 AM,South,Small Market,Decaf Irish Cream,Beans,Coffee,Oklahoma,Decaf,1,27,-39,859,1,39,7,21,66,30,60,60,90,18,0
775,10/1/2012 12:00:00 AM,West,Small Market,Decaf Irish Cream,Beans,Coffee,Nevada,Decaf,1,31,-43,1000,1,37,9,7,68,30,60,50,90,30,0
435,10/1/2012 12:00:00 AM,West,Small Market,Decaf Espresso,Beans,Espresso,Utah,Decaf,1,40,-23,881,1,59,11,37,99,20,60,60,80,22,0
603,10/1/2012 12:00:00 AM,East,Small Market,Amaretto,Beans,Coffee,New Hampshire,Regular,1,49,-27,310,1,71,15,33,120,30,60,60,90,38,0
603,10/1/2012 12:00:00 AM,East,Small Market,Colombian,Beans,Coffee,New Hampshire,Regular,1,45,-26,447,1,69,14,24,114,30,60,50,90,45,0
603,10/1/2012 12:00:00 AM,East,Small Market,Caffe Mocha,Beans,Espresso,New Hampshire,Regular,1,45,-37,320,1,64,41,-7,109,30,60,30,90,71,0
318,10/1/2012 12:00:00 AM,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,1,60,-9,-762,1,84,54,1,144,30,60,10,90,83,0
775,10/1/2012 12:00:00 AM,West,Small Market,Colombian,Beans,Coffee,Nevada,Regular,1,34,-32,240,1,43,12,-2,77,40,60,30,100,45,0
503,10/1/2012 12:00:00 AM,West,Small Market,Caffe Latte,Beans,Espresso,Oregon,Regular,1,54,-28,404,1,66,20,12,120,40,60,40,100,54,0
